book_id,title,author,genre,themes,description,avg_rating
0440234743,The Testament,John Grisham,Fiction,"life,story,journey,discovery,humanity",The Testament by John Grisham,3.8
0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,Fiction,"life,story,journey,discovery,humanity",Beloved (Plume Contemporary Fiction) by Toni Morrison,4.0
0971880107,Wild Animus,Rich Shapero,Fiction,"life,story,journey,discovery,humanity",Wild Animus by Rich Shapero,2.1
0345402871,Airframe,Michael Crichton,Fiction,"life,story,journey,discovery,humanity",Airframe by Michael Crichton,3.9
0345417623,Timeline,MICHAEL CRICHTON,Fiction,"life,story,journey,discovery,humanity",Timeline by MICHAEL CRICHTON,4.0
0446310786,To Kill a Mockingbird,Harper Lee,Fiction,"life,story,journey,discovery,humanity",To Kill a Mockingbird by Harper Lee,4.5
0449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,Fiction,"life,story,journey,discovery,humanity",Seabiscuit: An American Legend by LAURA HILLENBRAND,4.6
0671888587,I'll Be Seeing You,Mary Higgins Clark,Fiction,"life,story,journey,discovery,humanity",I'll Be Seeing You by Mary Higgins Clark,3.8
0553582747,From the Corner of His Eye,Dean Koontz,Fiction,"life,story,journey,discovery,humanity",From the Corner of His Eye by Dean Koontz,4.1
0425182908,Isle of Dogs,Patricia Cornwell,Fiction,"life,story,journey,discovery,humanity",Isle of Dogs by Patricia Cornwell,2.9
042518630X,Purity in Death,J.D. Robb,Mystery,"mystery,crime,suspense,detective",Purity in Death by J.D. Robb,3.9
0842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,Fiction,"life,story,journey,discovery,humanity",Left Behind: A Novel of the Earth's Last Days (Left Behind #1) by Tim Lahaye,3.5
0440225701,The Street Lawyer,JOHN GRISHAM,Fiction,"life,story,journey,discovery,humanity",The Street Lawyer by JOHN GRISHAM,3.8
042511774X,Breathing Lessons,Anne Tyler,Fiction,"life,story,journey,discovery,humanity",Breathing Lessons by Anne Tyler,3.7
0804106304,The Joy Luck Club,Amy Tan,Fiction,"life,story,journey,discovery,humanity",The Joy Luck Club by Amy Tan,4.1
0140067477,The Tao of Pooh,Benjamin Hoff,Fiction,"life,story,journey,discovery,humanity",The Tao of Pooh by Benjamin Hoff,4.0
0345465083,Seabiscuit,LAURA HILLENBRAND,Fiction,"life,story,journey,discovery,humanity",Seabiscuit by LAURA HILLENBRAND,4.5
1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,Memoir,"memoir,life,identity,resilience,growth",Life's Little Instruction Book (Life's Little Instruction Books (Paperback)) by H. Jackson Brown,4.0
0316769487,The Catcher in the Rye,J.D. Salinger,Fiction,"life,story,journey,discovery,humanity",The Catcher in the Rye by J.D. Salinger,3.8
0679429220,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,Horror,"fear,darkness,suspense,supernatural",Midnight in the Garden of Good and Evil: A Savannah Story by John Berendt,4.1
0671867156,Pretend You Don't See Her,Mary Higgins Clark,Fiction,"life,story,journey,discovery,humanity",Pretend You Don't See Her by Mary Higgins Clark,3.8
0446677450,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,YA/Family,"family,growth,coming-of-age,identity","Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not! by Robert T. Kiyosaki",4.0
0451166892,The Pillars of the Earth,Ken Follett,Fiction,"life,story,journey,discovery,humanity",The Pillars of the Earth by Ken Follett,4.3
067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,Fiction,"life,story,journey,discovery,humanity",Corelli's Mandolin : A Novel by LOUIS DE BERNIERES,4.1
0786868716,The Five People You Meet in Heaven,Mitch Albom,Fiction,"life,story,journey,discovery,humanity",The Five People You Meet in Heaven by Mitch Albom,4.1
0446612545,The Beach House,James Patterson,Fiction,"life,story,journey,discovery,humanity",The Beach House by James Patterson,3.8
0671027360,Angels & Demons,Dan Brown,Fiction,"life,story,journey,discovery,humanity",Angels & Demons by Dan Brown,4.1
0671042858,The Girl Who Loved Tom Gordon,Stephen King,Fiction,"life,story,journey,discovery,humanity",The Girl Who Loved Tom Gordon by Stephen King,3.6
0060929790,One Hundred Years of Solitude,Gabriel Garcia Marquez,Fiction,"life,story,journey,discovery,humanity",One Hundred Years of Solitude by Gabriel Garcia Marquez,4.2
0060976845,Little Altars Everywhere: A Novel,Rebecca Wells,Fiction,"life,story,journey,discovery,humanity",Little Altars Everywhere: A Novel by Rebecca Wells,3.8
0671004573,Before I Say Good-Bye,Mary Higgins Clark,Fiction,"life,story,journey,discovery,humanity",Before I Say Good-Bye by Mary Higgins Clark,3.8
038572179X,Atonement : A Novel,IAN MCEWAN,Fiction,"life,story,journey,discovery,humanity",Atonement : A Novel by IAN MCEWAN,3.9
0553583468,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",Kay Hooper,Horror,"fear,darkness,suspense,supernatural","Whisper of Evil (Hooper, Kay. Evil Trilogy.) by Kay Hooper",4.0
0380778556,Rebecca,Daphne Du Maurier,Fiction,"life,story,journey,discovery,humanity",Rebecca by Daphne Du Maurier,4.0
0330332775,Bridget Jones's Diary,Helen Fielding,Memoir,"memoir,life,identity,resilience,growth",Bridget Jones's Diary by Helen Fielding,3.6
0553278223,The Martian Chronicles,RAY BRADBURY,Fiction,"life,story,journey,discovery,humanity",The Martian Chronicles by RAY BRADBURY,4.2
0060977493,The God of Small Things,Arundhati Roy,Spirituality,"spirituality,faith,meaning,purpose,peace",The God of Small Things by Arundhati Roy,3.8
0316602906,The Big Bad Wolf: A Novel,James Patterson,Fiction,"life,story,journey,discovery,humanity",The Big Bad Wolf: A Novel by James Patterson,4.0
0316693006,Four Blind Mice,James Patterson,Fiction,"life,story,journey,discovery,humanity",Four Blind Mice by James Patterson,4.2
0345378490,Congo,Michael Crichton,Fiction,"life,story,journey,discovery,humanity",Congo by Michael Crichton,3.7
0375400117,Memoirs of a Geisha,Arthur Golden,Fiction,"life,story,journey,discovery,humanity",Memoirs of a Geisha by Arthur Golden,4.4
0375705856,Plainsong (Vintage Contemporaries),KENT HARUF,Fiction,"life,story,journey,discovery,humanity",Plainsong (Vintage Contemporaries) by KENT HARUF,3.9
0380717018,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,Fiction,"life,story,journey,discovery,humanity",Body of Evidence (Kay Scarpetta Mysteries (Paperback)) by Patricia D. Cornwell,3.8
0380718332,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,Fiction,"life,story,journey,discovery,humanity",All That Remains (Kay Scarpetta Mysteries (Paperback)) by Patricia D. Cornwell,4.1
0385497466,The Brethren,JOHN GRISHAM,Fiction,"life,story,journey,discovery,humanity",The Brethren by JOHN GRISHAM,3.7
0385508042,The King of Torts,John Grisham,Fiction,"life,story,journey,discovery,humanity",The King of Torts by John Grisham,3.8
